Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean
29.0,5.9,6.7,125.0,1638.0,5793.0
28.0,6.4,6.7,175.0,772.0,3636.0
30.0,6.2,7.7,39.0,1296.0,4517.0
30.0,6.1,7.8,39.0,1032.0,5840.0
27.0,7.3,6.9,61.0,1430.0,4388.0
28.0,6.8,6.6,71.0,2495.0,3949.0
29.0,7.4,6.5,129.0,5868.0,16691.0
28.0,7.0,6.8,503.0,965.0,2404.0
29.0,6.3,7.5,31.0,1466.0,4267.0
29.0,7.1,6.8,70.0,716.0,3567.0
30.0,7.3,6.8,69.0,457.0,2446.0
28.0,6.7,6.6,118.0,1104.0,3496.0
28.0,7.4,6.8,80.0,274.0,1404.0
29.0,4.5,6.6,250.0,1572.0,5889.0
28.0,6.1,6.9,74.0,1074.0,3937.0
30.0,5.9,7.3,44.0,962.0,2794.0
30.0,2.4,6.5,195.0,7980.0,14217.0
31.0,4.0,6.8,207.0,818.0,2280.0
29.0,5.4,7.6,40.0,290.0,1330.0
30.0,5.3,7.6,41.0,952.0,2517.0
29.0,7.0,6.9,54.0,667.0,3059.0
29.0,5.9,7.7,44.0,1200.0,831.0
29.0,7.1,6.5,60.0,2926.0,8163.0
29.0,6.9,7.7,99.0,53.0,123.0
30.0,6.6,7.9,123.0,44.0,104.0
27.0,6.6,7.7,220.0,25.0,77.0
27.0,6.8,7.7,219.0,23.0,75.0
27.0,4.8,7.2,5429.0,177.0,408.0
23.0,6.4,8.0,493.0,17.0,68.0
29.0,6.8,7.6,100.0,124.0,295.0
29.0,6.7,7.5,316.0,47.0,132.0
28.0,5.8,7.9,37227.0,231.0,451.0
29.0,6.9,7.7,84.0,69.0,168.0
25.0,4.9,7.6,21254.0,560.0,964.0
28.0,6.9,7.9,312.0,4.0,107.0
29.0,6.8,7.5,146.0,124.0,241.0
29.0,6.7,7.3,127.0,100.0,209.0
29.0,5.6,6.9,432.0,58.0,173.0
29.0,6.5,7.3,126.0,132.0,284.0
30.0,7.1,7.5,128.0,136.0,297.0
30.0,6.4,7.3,129.0,68.0,191.0
29.0,6.9,7.7,129.0,135.0,268.0
25.0,7.0,7.9,153.0,30.0,86.0
