sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,Cond @ 25C,Oxygen Diss,Temp Water,pH,TurbidityNTU,Tot Coli CMF,E.coli Pres,E.coli Conf,E.coli C-MF,E.coli PMF,Colfm PMF10,E.coli C-MPN,ColfmF Conf,Colfrm Conf,ColfmF MF10,ColformsPre,F Coli Pre,,
AN-48M08,R.WISSEY ICKBURGH RD.BR.,2023-09-01T11:49:00,621,9.77,14.7,7.92,1,,,,72,,,,,,,,,,
NE-49000700,ESK AT BRIGGSWATH FOOTBRIDGE,2023-09-01T11:48:00,236,10.5,13.5,7.81,7.3,,,,490,,,,,,,,,,
SW-81610134,PAR RIVER AT ST. BLAZEY BRIDGE,2023-09-01T11:25:00,233,9.97,13.8,7.72,8.5,,,,1100,,,,,,,,,,
SW-70614644,NESS COVE (23000),2023-08-31T10:40:00,58,9.75,17.1,7.36,1,,,,91,,,,,,,,,,
SW-70220159,RIVER AXE AT WHITFORD BRIDGE,2023-08-31T10:13:00,508,9.27,14.4,8,16,,,,35000,,,,,,,,,,
SW-81950522,CARNON RIVER AT DEVORAN BRIDGE,2023-08-31T09:10:00,665,8.63,14.8,6.2,12,,,,4200,,,,,,,,,,
SW-81520521,RIVER FOWEY AT DRAYNES BRIDGE,2023-08-30T13:51:00,75,10,14.2,6.9,1,,,,170,,,,,,,,,,
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2023-08-30T12:12:00,1507,9.64,16.8,8.34,2.4,,,,330,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-08-30T11:25:00,1419,9.45,19.8,8.97,4.6,,,,120,,,,,,,,,,
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2023-08-30T11:15:00,1428,10.2,19.6,8.86,5.2,,500,,240,,,,,,,,,,
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2023-08-30T10:59:00,1412,10.7,19.4,9.09,7.5,,,,170,,,,,,,,,,
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2023-08-30T10:55:00,1472,11.4,19.5,8.9,2.7,,,,72,,,,,,,,,,
SW-81930120,RIVER FAL AT TREGONY GAUGING STATION,2023-08-30T09:36:00,224,9.83,13.2,7.24,11,,,,1700,,,,,,,,,,
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2023-08-26T12:10:00,1564,10.5,19.3,8.44,7.4,,,,270,,,,,,,,,,
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2023-08-26T11:11:00,1424,11.6,22.1,9,6.5,,,,280,,,,,,,,,,
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2023-08-26T10:35:00,1440,9.24,21.1,8.91,3.9,,,,90,,,,,,,,,,
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2023-08-26T10:23:00,1528,9.66,17.6,8.29,1.9,,,,72,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-08-26T10:01:00,1428,10,20.3,8.98,4.6,,,,320,,,,,,,,,,
SW-81522326,WARLEGGAN RIVER AT PANTERS BRIDGE,2023-08-24T15:51:00,90,9.75,15.5,6.8,1,,,,140,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-08-15T13:16:00,1406,10.9,21.1,8.9,2.7,,,,130,,,,,,,,,,
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2023-08-15T12:32:00,1504,8.91,22.2,8.56,1.8,,,,350,,,,,,,,,,
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2023-08-15T11:54:00,1407,10.5,21.7,8.88,2.8,,,,470,,,,,,,,,,
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2023-08-15T10:52:00,1512,9.14,17.7,8.2,1,,,,520,,,,,,,,,,
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2023-08-15T10:36:00,1423,10.1,20.3,8.79,2.3,,,,99,,,,,,,,,,
NW-88004530,RIVER BRATHAY AT CLAPPERSGATE,2023-08-14T11:10:00,49,10,15.4,8.13,1.7,,,,720,,,,,,,,,,
MD-54520250,RIVER DOVE  DOVEDALE,2023-08-14T10:18:00,503,10.5,12.5,8.09,1,,,,480,,,,,,,,,,
NW-88024649,DUBBS BECK U/S DUBBS RESERVOIR,2023-08-14T09:57:00,97,10,12.3,7.79,1,,,,45,,,,,,,,,,
NW-88024648,DUBBS BECK AT CAPPLE HOWE IMPOUNDMENT,2023-08-14T09:48:00,86,9.62,15.1,7.95,1.4,,,,72,,,,,,,,,,
NW-88023151,RIVER GOWAN @ STUBBINGS BRIDGE,2023-08-14T09:32:00,84,9.43,16.1,7.97,1.8,,,,54,,,,,,,,,,
NW-88004397,RIVER KENT AT SEDGEWICK,2023-08-14T09:00:00,145,10.3,14.4,7.89,1.4,,,,440,,,,,,,,,,
AN-RR0108,ROMAN RIVER BOUNSTEAD BRIDGE,2023-08-10T12:57:00,778,9.18,17.1,7.95,4.9,,,,510,,,,,,,,,,
NW-88004538,WINDERMERE AT MILLER GROUND (45650),2023-08-10T12:20:00,282,10,20.6,7.79,12,,,,18,,,,,,,,,,
NE-49000700,ESK AT BRIGGSWATH FOOTBRIDGE,2023-08-10T11:42:00,882,10.2,15.3,8.29,10,,,,910,,,,,,,,,,
SW-81520166,RIVER FOWEY AT RESTORMEL,2023-08-09T10:38:00,104,9.99,15.3,7.17,1.2,,,,200,,,,,,,,,,
NW-88004563,LEVEN AT LOW WOOD BRIDGE HAVERTHWAITE,2023-08-08T10:05:00,71,9.87,16.8,7.81,1.6,,,,45,,,,,,,,,,
SW-70220104,RIVER AXE AT AXE BRIDGE,2023-08-08T09:41:00,470,8.22,16.3,7.92,2.8,,,,580,,,,,,,,,,
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2023-08-07T12:12:00,1392,12,19.8,8.92,3.6,,,,390,,,,,,,,,,
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2023-08-07T11:30:00,1513,9.7,19,8.47,1.1,,,,270,,,,,,,,,,
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2023-08-07T10:57:00,1392,12.2,19.5,8.89,4.2,,,,120,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-08-07T10:31:00,1393,11,18.9,8.91,3.7,,,,150,,,,,,,,,,
SW-50590127,RIVER FROME AT HOLME BRIDGE,2023-08-04T10:33:00,505,9.8,15.9,8.14,3.3,,,,1100,,,,,,,,,,
SW-50450129,RIVER PIDDLE AT WEST MILLS,2023-08-04T09:37:00,556,9.32,15.6,8.06,1.8,,,,770,,,,,,,,,,
SW-81520593,RIVER FOWEY AT HARROWBRIDGE,2023-08-03T11:14:00,60,9.63,14.4,6.22,1.8,,,,460,,,,,,,,,,
SW-82014856,PORTHLEVEN SANDS (29800),2023-08-03T11:00:00,75,10.3,16.1,7.71,1.4,,,,10,,,,,,,,,,
SW-81523404,SIBLYBACK STREAM AT TREKEIVESTEPS BRIDGE,2023-08-03T10:59:00,80,9.63,17.1,7.53,2.6,,,,45,,,,,,,,,,
SW-81522725,ST NEOT RIVER AT ST NEOT BRIDGE,2023-08-03T10:28:00,88,9.96,15,7.44,2.5,,,,230,,,,,,,,,,
SW-E8901210,WESTON MAIN (35800),2023-08-03T10:05:00,646,8.77,16.9,7.94,1.1,,,,64,,,,,,,,,,
SW-70811815,COMBE STREAM AT SALCOMBE SOUTH SANDS,2023-08-02T13:48:00,530,9.84,15.1,8.2,6.2,,,,100000,,,,,,,,,,
SW-70811912,COLLATON STREAM  AT SALCOMBE NORTH SANDS,2023-08-02T13:05:00,680,9.04,14.4,7.85,5.6,,,,1000,,,,,,,,,,
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2023-08-02T11:42:00,1396,10.3,20,8.85,4.4,,,,740,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-08-02T11:22:00,1385,11.5,20,8.92,3.7,,,,670,,,,,,,,,,
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2023-08-02T11:04:00,1499,8.96,16.6,8.3,1,,,,2800,,,,,,,,,,
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2023-08-02T10:52:00,1393,10.2,19.6,8.83,3.3,,,,90,,,,,,,,,,
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2023-08-02T10:07:00,1431,11.3,20,8.82,15,,,,280,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2023-08-01T11:35:00,113,9.92,14.3,7.2,15,,,,9600,,,,,,,,,,
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2023-07-25T11:38:00,1547,10.1,17.6,8.47,1.9,,,,280,,,,,,,,,,
NW-88004590,RIVER CRAKE AT WATER YEAT,2023-07-25T11:10:00,34,9.77,17,8.15,1,,,,81,,,,,,,,,,
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2023-07-25T11:06:00,1389,9.68,20.1,8.77,5,,,,1300,,,,,,,,,,
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2023-07-25T11:03:00,1409,11.2,19.6,8.77,2.9,,,,90,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-07-25T10:48:00,1387,10.4,19.6,8.81,2.5,,,,420,,,,,,,,,,
NW-88004530,RIVER BRATHAY AT CLAPPERSGATE,2023-07-18T13:45:00,40,10,14.6,6.65,1,,,,370,,,,,,,,,,
NW-88024649,DUBBS BECK U/S DUBBS RESERVOIR,2023-07-18T12:00:00,80,9.93,12.4,6.73,1,,,,490,,,,,,,,,,
NW-88024648,DUBBS BECK AT CAPPLE HOWE IMPOUNDMENT,2023-07-18T11:25:00,80,9.91,13.4,7.32,1,,,,360,,,,,,,,,,
SW-81418801,INVESTIGATION IN CATCHMENT 14A,2023-07-18T11:05:00,85,9.57,16.4,7.46,1.2,,,,200,,,,,,,,,,
NW-88004397,RIVER KENT AT SEDGEWICK,2023-07-18T10:24:00,137,10.3,14.3,7.78,1.6,,,,880,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-07-17T11:41:00,1381,8.45,20.5,8.54,2.7,,,,190,,,,,,,,,,
MD-57403450,RIVER MANIFOLD - ILAM,2023-07-17T10:26:00,301,8.68,12.2,7.56,17,,,,6600,,,,,,,,,,
MD-57464620,RIVER HAMPS - WINKHILL,2023-07-14T09:24:00,500,9.59,13.9,8.11,5.2,,,,810,,,,,,,,,,
SW-81520166,RIVER FOWEY AT RESTORMEL,2023-07-13T10:38:00,102,10.1,15.8,7.28,1.3,,,,860,,,,,,,,,,
SW-50590127,RIVER FROME AT HOLME BRIDGE,2023-07-12T12:06:00,556,10.4,16.9,8.27,2.1,,,,550,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-07-12T11:00:00,1411,8.07,21.4,8.64,1.6,,,,300,,,,,,,,,,
SW-50450129,RIVER PIDDLE AT WEST MILLS,2023-07-12T10:40:00,552,9.98,16.8,8.02,1.2,,,,200,,,,,,,,,,
SW-70314532,SIDMOUTH (JACOBS LADDER) BEACH (21900),2023-07-12T10:08:00,807,8.11,17.2,7.91,2.5,,,,10,,,,,,,,,,
SW-82215425,GODREVY TOWANS (31450),2023-07-11T12:50:00,570,9.84,16.6,8.6,1.6,,,,18,,,,,,,,,,
SW-70811912,COLLATON STREAM  AT SALCOMBE NORTH SANDS,2023-07-11T12:05:00,600,9.6,14.5,8.22,2.4,,,,590,,,,,,,,,,
SW-70220104,RIVER AXE AT AXE BRIDGE,2023-07-11T09:46:00,390,7.92,16.9,7.8,13,,,,33000,,,,,,,,,,
SW-81523404,SIBLYBACK STREAM AT TREKEIVESTEPS BRIDGE,2023-07-06T15:29:00,74,9.62,16.6,6.6,1.3,,,,10,,,,,,,,,,
SW-81522326,WARLEGGAN RIVER AT PANTERS BRIDGE,2023-07-05T14:28:00,89,10.4,13.6,6.87,1,,,,460,,,,,,,,,,
SW-81950522,CARNON RIVER AT DEVORAN BRIDGE,2023-07-05T14:22:00,589,9.14,15,6.1,3.8,,,,410,,,,,,,,,,
SW-81522725,ST NEOT RIVER AT ST NEOT BRIDGE,2023-07-05T14:05:00,82,9.67,16.8,6.68,3,,,,54,,,,,,,,,,
SW-81520593,RIVER FOWEY AT HARROWBRIDGE,2023-07-05T10:11:00,74,10,12.7,6.9,1,,,,1500,,,,,,,,,,
SW-70920104,RIVER ERME AT SEQUERS BRIDGE,2023-07-04T17:01:00,206,9.77,15,8.34,1.2,,,,430,,,,,,,,,,
NW-88004563,LEVEN AT LOW WOOD BRIDGE HAVERTHWAITE,2023-07-04T16:54:00,150,9.74,17.1,8.13,1.5,,,,90,,,,,,,,,,
SW-81930120,RIVER FAL AT TREGONY GAUGING STATION,2023-07-04T14:32:00,250,9.88,14.3,7.48,4.3,,,,2200,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-07-04T10:30:00,1371,7.66,19.1,8.68,2.2,,,,91,,,,,,,,,,
SW-82311601,ST AGNES STREAM AT TREVAUNANCE COVE,2023-07-03T14:37:00,182,8.81,16.1,7.6,4.5,,,,2100,,,,,,,,,,
MD-54520250,RIVER DOVE  DOVEDALE,2023-07-03T10:11:00,543,11.4,11.1,8.16,1.2,,,,81,,,,,,,,,,
NE-49000700,ESK AT BRIGGSWATH FOOTBRIDGE,2023-07-03T09:53:00,287,9.83,14.6,8.36,4.2,,,,140,,,,,,,,,,
NW-88000056,MISC SEWAGE DISCHARGES RIBBLE/DOUGLAS,2023-06-30T12:17:00,46738,8.12,17.3,8.08,14,,,,110,,,,,,,,,,
SO-E0004740,HOOKERS PIT,2023-06-30T11:05:00,499,8.01,17,8.01,39,,,,850,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-06-26T11:02:00,1352,10.6,23.3,8.92,2.2,,,,200,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-06-20T11:22:00,1350,10.3,22.9,8.91,1.1,,,,1400,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-06-14T10:48:00,1334,11.7,22.5,8.86,1.3,,,,200,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-06-08T11:26:00,1313,11.2,19,8.69,1.4,,,,27,,,,,,,,,,
SW-70811815,COMBE STREAM AT SALCOMBE SOUTH SANDS,2023-06-05T13:13:00,560,10.8,14.6,8.35,2.6,,,,190,,,,,,,,,,
SW-70811912,COLLATON STREAM  AT SALCOMBE NORTH SANDS,2023-06-05T13:08:00,600,10.4,13.2,8.35,1.9,,,,150,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-06-02T09:49:00,1286,9.14,16.5,8.55,1.3,,,,130,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2023-06-01T14:13:00,325,9.43,17.8,7.93,2.4,,,,99,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-05-27T11:40:00,1277,9.18,17.9,8.51,1.2,,,,36,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-05-17T11:41:00,1242,8.23,18.1,8.3,1.9,,,,55,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-05-09T12:50:00,1223,9.44,17.4,8.42,2.3,,,,91,,,,,,,,,,
NW-88003872,RIVER WYRE AT ST MICHAELS,2023-05-04T14:25:00,279,12.1,13.1,8.76,2,,,,130,,,,,,,,,,
AN-48M08,R.WISSEY ICKBURGH RD.BR.,2023-03-22T10:48:00,687,9.94,10.4,8.02,2.4,,,,340,,,,,,,,,,
SW-50450129,RIVER PIDDLE AT WEST MILLS,2023-03-17T14:31:00,544,11,12.1,8.06,3.2,,,,90,,,,,,,,,,
AN-RR0108,ROMAN RIVER BOUNSTEAD BRIDGE,2023-03-13T12:39:00,879,10.7,10.5,7.97,8.4,,,,470,,,,,,,,,,
SW-70220104,RIVER AXE AT AXE BRIDGE,2023-03-10T14:55:00,350,11.6,7.4,7.89,25,,,,3600,,,,,,,,,,
NW-88004590,RIVER CRAKE AT WATER YEAT,2023-03-09T11:41:00,59,12.7,5.4,7.7,1,,,,10,,,,,,,,,,
MD-57403450,RIVER MANIFOLD - ILAM,2023-03-08T10:59:00,505,11.4,6.9,7.5,1,,,,54,,,,,,,,,,
MD-57464620,RIVER HAMPS - WINKHILL,2023-03-08T10:41:00,414,14.4,1.3,8.18,3.5,,,,18,,,,,,,,,,
NW-88004530,RIVER BRATHAY AT CLAPPERSGATE,2023-03-07T11:55:00,82,13.5,6.5,6.59,1,,,,54,,,,,,,,,,
NW-88024649,DUBBS BECK U/S DUBBS RESERVOIR,2023-03-07T10:45:00,104,12.3,6.8,7.43,1,,,,10,,,,,,,,,,
NW-88024648,DUBBS BECK AT CAPPLE HOWE IMPOUNDMENT,2023-03-07T10:30:00,96,12.7,5.4,7.45,1,,,,10,,,,,,,,,,
NW-88023151,RIVER GOWAN @ STUBBINGS BRIDGE,2023-03-07T10:05:00,88,13.2,4.5,7.61,1,,,,18,,,,,,,,,,
NW-88004590,RIVER CRAKE AT WATER YEAT,2023-02-27T10:30:00,58,12.1,6.2,8.21,1,,,,10,,,,,,,,,,
NE-49000700,ESK AT BRIGGSWATH FOOTBRIDGE,2023-02-27T10:17:00,228,12.2,6.3,8.25,4.1,,,,680,,,,,,,,,,
MD-57403450,RIVER MANIFOLD - ILAM,2023-02-17T13:14:00,496,10.7,8.6,7.45,1,,,,27,,,,,,,,,,
AN-RR0108,ROMAN RIVER BOUNSTEAD BRIDGE,2023-02-10T14:02:00,960,12.7,5,8.31,1.9,,,,210,,,,,,,,,,
SW-50450129,RIVER PIDDLE AT WEST MILLS,2022-11-04T12:28:00,461,9.76,11.6,7.65,13,,,,1500,,,,,,,,,,
SW-72934611,RIVER WALDON AT HENSCOTT BRIDGE,2022-10-27T10:13:00,230,9.57,13.6,7.53,1,,,,390,,,,,,,,,,
MD-57403450,RIVER MANIFOLD - ILAM,2022-10-21T14:19:00,442,9.29,10.4,7.54,2.3,,,,220,,,,,,,,,,
MD-57464620,RIVER HAMPS - WINKHILL,2022-10-21T13:52:00,397,10.2,11.5,8.04,9,,,,2600,,,,,,,,,,
AN-RR0108,ROMAN RIVER BOUNSTEAD BRIDGE,2022-10-19T12:11:00,792,9.65,11.6,7.75,4.1,,,,260,,,,,,,,,,
NW-88004397,RIVER KENT AT SEDGEWICK,2022-10-18T13:45:00,175,11.2,10.7,7.83,1.2,,,,1200,,,,,,,,,,
SW-50450129,RIVER PIDDLE AT WEST MILLS,2022-10-18T13:10:00,521,9.69,13,7.68,1.7,,,,81,,,,,,,,,,
NW-88004530,RIVER BRATHAY AT CLAPPERSGATE,2022-10-18T11:45:00,47,10.8,10.7,6.9,1,,,,150,,,,,,,,,,
TH-PGWL0228,WOLVERCOTE STREAM,2022-10-18T10:30:00,91,10.4,10.6,6.9,1,,,,260,,,,,,,,,,
NW-88024648,DUBBS BECK AT CAPPLE HOWE IMPOUNDMENT,2022-10-18T10:15:00,83,11.1,10,7.31,1,,,,110,,,,,,,,,,
NW-88023151,RIVER GOWAN @ STUBBINGS BRIDGE,2022-10-18T10:00:00,78,11.1,10.1,7.42,1.4,,,,10,,,,,,,,,,
NW-88004590,RIVER CRAKE AT WATER YEAT,2022-10-17T13:10:00,58,9.95,12.4,7.04,1,,,,72,,,,,,,,,,
NE-49000700,ESK AT BRIGGSWATH FOOTBRIDGE,2022-10-11T13:55:00,251,10.6,10.1,8.23,6.7,,,,980,,,,,,,,,,
SW-81522326,WARLEGGAN RIVER AT PANTERS BRIDGE,2022-10-05T13:25:00,94,10,13.9,7.42,11,,,,290,,,,,,,,,,
SW-81520521,RIVER FOWEY AT DRAYNES BRIDGE,2022-10-05T12:55:00,83,9.6,13.9,6.95,2.2,,,,2000,,,,,,,,,,
SW-70220104,RIVER AXE AT AXE BRIDGE,2022-10-04T09:49:00,490,8.49,14.2,7.95,1.7,,,,4900,,,,,,,,,,
SW-81520593,RIVER FOWEY AT HARROWBRIDGE,2022-10-03T15:47:00,72,10.7,12.5,6.48,1,,,,240,,,,,,,,,,
NW-88004397,RIVER KENT AT SEDGEWICK,2022-09-29T13:45:00,177,10.8,12.1,8.11,1,,,,280,,,,,,,,,,
NW-88004530,RIVER BRATHAY AT CLAPPERSGATE,2022-09-29T11:45:00,43,10.6,11.5,7.13,1.1,,,,210,,,,,,,,,,
MD-57403450,RIVER MANIFOLD - ILAM,2022-09-29T11:33:00,523,9.64,10.7,8,1.3,,,,680,,,,,,,,,,
MD-57464620,RIVER HAMPS - WINKHILL,2022-09-29T10:36:00,482,10.7,9.8,8.53,14,,,,3000,,,,,,,,,,
NW-88024649,DUBBS BECK U/S DUBBS RESERVOIR,2022-09-29T10:05:00,117,10.8,11.2,7.4,1,,,,10,,,,,,,,,,
SW-91241149,RIVER INNY U/S A30,2022-09-29T09:45:00,97,10.5,11.3,7.41,1.1,,,,650,,,,,,,,,,
NW-88023151,RIVER GOWAN @ STUBBINGS BRIDGE,2022-09-29T09:25:00,100,10.2,12,7.64,2.1,,,,36,,,,,,,,,,
NW-88004590,RIVER CRAKE AT WATER YEAT,2022-09-28T12:55:00,58,9.87,15,7.36,1,,,,45,,,,,,,,,,
AN-48M08,R.WISSEY ICKBURGH RD.BR.,2022-09-26T10:52:00,613,7.15,11.1,7.6,1.2,,,,1200,,,,,,,,,,
TH-PRTS0039,ST ANNS LAKE,2022-09-23T13:18:00,610,8.98,18.6,7.87,5.2,,,,1500,,,,,,,,,,
TH-PRTS0043,FLEET LAKE,2022-09-23T11:33:00,640,8.08,18.2,7.78,3.7,,,,10,,,,,,,,,,
TH-PRTS0041,MANOR LAKE,2022-09-23T11:18:00,640,8.46,18,7.88,2.5,,,,63,,,,,,,,,,
TH-PRTS0038,"MEAD LAKE DITCH, U/S INTERSECTION",2022-09-23T10:40:00,650,7.73,15.5,7.79,2,,,,150,,,,,,,,,,
TH-PRTS0048,ABBEY LAKE,2022-09-23T10:27:00,630,8.97,17.9,7.87,12,,,,19000,,,,,,,,,,
TH-PRTS0040,LAKE SOUTH OF GREEN LN,2022-09-23T10:09:00,640,6.24,16.6,7.6,2.3,,,,27,,,,,,,,,,
TH-PTTB0012,BATHING WATER EEC - 3 SHELLS (11850),2022-09-22T11:02:00,770,9.51,16.5,8.02,2.5,,,,10,,,,,,,,,,
TH-PRTS0057,THAMES U/S OF SPELTHORNE CHANNEL INTAKE,2022-09-20T12:56:00,730,9.48,17.2,8,2.3,,,,170,,,,,,,,,,
TH-PRTS0059,LITTLETON NORTH,2022-09-20T12:45:00,590,8.52,18.9,8.52,11,,,,27,,,,,,,,,,
TH-PRTS0060,LITTLETON EAST,2022-09-20T12:02:00,560,9.31,18,8.13,1.4,,,,27,,,,,,,,,,
TH-PRTS0064,FERRY LANE BRPS,2022-09-20T11:25:00,440,8.12,17.9,7.89,3.6,,,,72,,,,,,,,,,
TH-PRTS0021,SILVERWINGS,2022-09-20T09:38:00,440,6.85,16.5,7.84,18,,,,530,,,,,,,,,,
SW-50450129,RIVER PIDDLE AT WEST MILLS,2022-09-14T12:08:00,531,8.71,15.3,7.72,2.3,,,,380,,,,,,,,,,
SW-91241149,RIVER INNY U/S A30,2022-09-09T09:49:00,850,9.96,14.8,8,8.2,,,,3200,,,,,,,,,,
SW-81522326,WARLEGGAN RIVER AT PANTERS BRIDGE,2022-09-07T15:18:00,99,9.52,16.6,7.55,1.8,,,,220,,,,,,,,,,
SW-81520593,RIVER FOWEY AT HARROWBRIDGE,2022-09-07T12:40:00,80,9.78,14.9,6.75,1.6,,,,220,,,,,,,,,,
SW-81520521,RIVER FOWEY AT DRAYNES BRIDGE,2022-09-07T12:20:00,88,9.57,15.4,7.2,1.8,,,,510,,,,,,,,,,
SW-70614728,BABBACOMBE BEACH (23400),2022-09-06T14:05:00,307,9.39,18.1,8.22,3.4,,,,45,,,,,,,,,,
SW-73110519,HAG BROOK BY MOLES FARM HOUSE,2022-09-05T10:54:00,816,8.18,17.3,7.7,5.4,,,,3000,,,,,,,,,,
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2022-09-02T11:38:00,1429,7.81,20.6,9.25,13,,,,880,,,,,,,,,,
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2022-09-02T11:18:00,1526,9.18,17.3,8.3,1.7,,,,3500,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2022-09-02T10:54:00,1426,8.41,20.1,9.2,13,,,,120,,,,,,,,,,
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2022-09-02T10:26:00,1417,8.45,19.7,9.2,12,,,,670,,,,,,,,,,
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2022-09-02T09:56:00,1432,8.43,18.6,9.08,20,,,,45,,,,,,,,,,
NE-49700249,WHARFE AT GRASSINGTON B6265 BRIDGE,2022-09-01T12:21:00,358,12.5,14.9,8.43,1,,,,230,,,,,,,,,,
SW-70220104,RIVER AXE AT AXE BRIDGE,2022-09-01T10:43:00,500,10.6,17.7,8.4,1,,,,160,,,,,,,,,,
AN-48M08,R.WISSEY ICKBURGH RD.BR.,2022-08-31T12:15:00,639,8.99,15.6,8,1.8,,,,140,,,,,,,,,,
TH-PRTS0038,"MEAD LAKE DITCH, U/S INTERSECTION",2022-08-30T12:46:00,650,3.25,16.1,7.41,8.3,,,,1400,,,,,,,,,,
TH-PRTS0043,FLEET LAKE,2022-08-30T12:24:00,640,6.77,21.9,7.73,4.1,,,,10,,,,,,,,,,
TH-PRTS0040,LAKE SOUTH OF GREEN LN,2022-08-30T12:15:00,630,8.41,19.9,7.88,3.1,,,,27,,,,,,,,,,
TH-PRTS0041,MANOR LAKE,2022-08-30T12:05:00,630,6.93,21.6,7.83,3.9,,,,10,,,,,,,,,,
TH-PRTS0048,ABBEY LAKE,2022-08-30T11:21:00,620,6.82,21.6,7.8,4.7,,,,18,,,,,,,,,,
TH-PRTS0039,ST ANNS LAKE,2022-08-30T10:35:00,590,7.6,21.4,8.15,15,,,,10,,,,,,,,,,
TH-PRTS0046,THAMES U/S OF RUNNYMEDE CHANNEL INTAKE,2022-08-25T11:47:00,780,8.07,21.1,8,4.8,,,,2500,,,,,,,,,,
TH-PRTS0064,FERRY LANE BRPS,2022-08-24T12:41:00,440,7.23,23.3,8.03,1.2,,,,10,,,,,,,,,,
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2022-08-24T11:54:00,1535,8.92,20.3,8.41,4.3,,,,840,,,,,,,,,,
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2022-08-24T11:32:00,1446,4.88,23.2,9.23,12,,,,190,,,,,,,,,,
TH-PRTS0059,LITTLETON NORTH,2022-08-24T11:31:00,620,6.25,23.1,8.21,5,,,,10,,,,,,,,,,
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2022-08-24T11:04:00,1442,7.86,22.7,9.11,12,,,,10000,,,,,,,,,,
TH-PRTS0060,LITTLETON EAST,2022-08-24T10:54:00,550,9.16,22.5,8.18,1.5,,,,45,,,,,,,,,,
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2022-08-24T10:35:00,1437,7.81,22.4,9.07,11,,,,630,,,,,,,,,,
